,發生時間,死亡受傷人數,車種,經度,緯度
54,108年01月01日 01時30分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.56194599999999,23.616773000000002
55,108年01月01日 01時30分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,121.48606399999998,25.122059
56,108年01月01日 01時30分00秒,死亡0;受傷1,普通重型-機車;計程車-小客車,121.47960400000001,25.042442
57,108年01月01日 01時31分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.318215,22.61702
58,108年01月01日 01時35分52秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.20702299999999,22.989817000000002
59,108年01月01日 01時36分00秒,死亡0;受傷1,自用-小客車;自用-小客車,120.60686899999999,22.722142
60,108年01月01日 01時37分00秒,死亡0;受傷2,計程車-小客車;普通重型-機車;乘客-人,121.50255200000001,25.063875
61,108年01月01日 01時40分27秒,死亡0;受傷1,普通重型-機車,120.302398,23.298181
62,108年01月01日 01時43分00秒,死亡0;受傷1,普通重型-機車,120.194309,22.991954999999997
63,108年01月01日 01時45分00秒,死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,120.489051,22.579231
64,108年01月01日 01時45分00秒,死亡0;受傷1,計程車-小客車;普通重型-機車,120.331792,22.647157999999997
65,108年01月01日 01時45分50秒,死亡0;受傷4,普通重型-機車;普通重型-機車;普通重型-機車;乘客-人,120.279123,22.992288000000002
66,108年01月01日 01時46分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.45990800000001,25.138057
67,108年01月01日 01時47分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.53593000000001,25.057989000000003
68,108年01月01日 01時50分00秒,死亡0;受傷1,計程車-小客車;行人-人,121.663473,25.068979000000002
69,108年01月01日 01時50分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.671276,24.145398999999998
70,108年01月01日 01時52分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.725125,24.108202
71,108年01月01日 01時53分00秒,死亡0;受傷1,腳踏自行車-慢車;自用-小客車,120.493954,22.672411999999998
72,108年01月01日 01時53分00秒,死亡0;受傷1,普通重型-機車,120.385168,22.700995000000002
73,108年01月01日 01時54分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.657752,24.113229999999998
74,108年01月01日 02時00分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,121.772774,25.157268
75,108年01月01日 02時00分10秒,死亡0;受傷1,普通重型-機車,121.254051,24.932542
76,108年01月01日 02時05分00秒,死亡0;受傷2,普通重型-機車;腳踏自行車-慢車,121.77041799999999,24.72093
77,108年01月01日 02時05分00秒,死亡0;受傷2,普通重型-機車;乘客-人,121.53938400000001,25.171668
78,108年01月01日 02時10分00秒,死亡0;受傷1,自用-小客車;腳踏自行車-慢車,120.30746,22.625325
79,108年01月01日 02時10分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.71542,24.174375
80,108年01月01日 02時16分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.67081599999999,24.174468
81,108年01月01日 02時20分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.537269,25.062684
82,108年01月01日 02時20分14秒,死亡0;受傷1,普通重型-機車,120.874122,24.648185
83,108年01月01日 02時27分00秒,死亡0;受傷1,普通重型-機車;自用-小客車;自用-小客車,120.677356,24.127456
84,108年01月01日 02時30分00秒,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,120.30152,22.62716
85,108年01月01日 02時36分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.43136799999999,24.993371
86,108年01月01日 02時37分00秒,死亡0;受傷2,計程車-小客車;普通重型-機車;普通重型-機車,121.531973,25.026367999999998
87,108年01月01日 02時43分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.633953,24.146160000000002
88,108年01月01日 02時49分00秒,死亡0;受傷1,自用-小客車;自用-小貨車(含客、貨兩用),120.446072,23.457189
89,108年01月01日 02時50分00秒,死亡0;受傷2,自用-小客車;普通重型-機車,120.234443,22.993754
90,108年01月01日 02時52分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.47573799999999,25.083015
91,108年01月01日 03時00分00秒,死亡0;受傷2,普通重型-機車;乘客-人,120.25436599999999,23.033749
92,108年01月01日 03時04分00秒,死亡0;受傷1,普通重型-機車;自用-小客車;自用-小客車,120.510396,23.86599
93,108年01月01日 03時20分00秒,死亡0;受傷1,自用-小客車;腳踏自行車-慢車,120.45700000000001,23.470370000000003
94,108年01月01日 03時30分00秒,死亡0;受傷1,計程車-小客車;普通重型-機車,121.50766999999999,24.998614
95,108年01月01日 03時30分00秒,死亡0;受傷1,自用-大貨車;普通重型-機車,120.656297,24.161772
96,108年01月01日 03時35分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.66521499999999,22.242281
97,108年01月01日 03時45分56秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.206659,23.014997
98,108年01月01日 03時47分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車;普通重型-機車,121.467731,25.006527
99,108年01月01日 03時56分00秒,死亡0;受傷1,救護車-特種車;普通重型-機車,121.513503,25.063131
100,108年01月01日 03時57分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.290921,22.631592
101,108年01月01日 04時00分27秒,死亡0;受傷1,普通重型-機車,121.145284,24.038678
102,108年01月01日 04時19分15秒,死亡0;受傷2,行人-人;普通重型-機車,120.848277,21.91014
103,108年01月01日 04時23分12秒,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,120.327863,22.959791
104,108年01月01日 04時25分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,121.472245,25.009271
105,108年01月01日 04時25分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.68219099999999,24.172358
106,108年01月01日 04時26分00秒,死亡0;受傷1,普通重型-機車;民營客運-大客車,121.486875,25.059188
107,108年01月01日 04時26分00秒,死亡0;受傷1,普通重型-機車,120.4538,23.48635
108,108年01月01日 04時27分00秒,死亡0;受傷2,自用-小客車;乘客-人;乘客-人,121.576408,24.999847
109,108年01月01日 04時33分00秒,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,121.432001,25.059796
110,108年01月01日 04時40分00秒,死亡0;受傷1,自用-小客車;行人-人,121.74781999999999,25.12886
111,108年01月01日 04時40分08秒,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.205396,24.972151
112,108年01月01日 04時54分01秒,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,120.18593899999999,23.006907
113,108年01月01日 04時55分00秒,死亡0;受傷1,普通輕型-機車;自用-小貨車(含客、貨兩用),120.20856100000002,22.970422
114,108年01月01日 04時57分59秒,死亡0;受傷1,自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用),121.267028,24.933267999999998
115,108年01月01日 05時00分00秒,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.36626399999999,22.643708
116,108年01月01日 05時10分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);自用-大貨車,120.249573,22.972126
