,發生時間,死亡受傷人數,車種,經度,緯度
7306,108年01月08日 11時43分00秒,死亡0;受傷1,普通重型-機車;租賃車-小客車,121.5406,24.977463
7307,108年01月08日 11時44分00秒,死亡0;受傷1,自用-小客車;營業用-小貨車(含客、貨兩用),121.42798700000002,25.090749
7308,108年01月08日 11時44分44秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.955698,24.810233
7309,108年01月08日 11時44分55秒,死亡0;受傷1,自用-曳引車;普通重型-機車,121.005377,24.841991
7310,108年01月08日 11時45分00秒,死亡0;受傷2,普通重型-機車;行人-人;乘客-人,121.57222,25.040447
7311,108年01月08日 11時48分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.31213500000001,22.601149
7312,108年01月08日 11時50分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.293998,22.59727
7313,108年01月08日 11時50分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.290199,25.085282
7314,108年01月08日 11時50分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.241,22.89
7315,108年01月08日 11時51分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.331841,22.758844
7316,108年01月08日 11時53分00秒,死亡0;受傷1,普通重型-機車,120.4709,23.46324
7317,108年01月08日 11時54分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.536452,24.072932
7318,108年01月08日 11時54分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.705886,24.227457
7319,108年01月08日 11時55分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.32195700000001,22.660286
7320,108年01月08日 11時56分00秒,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.719725,24.133664000000003
7321,108年01月08日 11時58分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.673506,24.147681
7322,108年01月08日 12時00分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.220648,24.918557
7323,108年01月08日 12時00分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.740292,25.133537
7324,108年01月08日 12時00分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.631603,24.354368
7325,108年01月08日 12時00分30秒,死亡0;受傷1,普通重型-機車;自用-小客車,121.075546,24.890919
7326,108年01月08日 12時01分30秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.59550800000001,22.641453
7327,108年01月08日 12時01分56秒,死亡0;受傷1,自用-小客車;普通重型-機車;自用-小客車,120.57915600000001,23.720896
7328,108年01月08日 12時05分00秒,死亡0;受傷1,普通重型-機車,120.460174,22.66674
7329,108年01月08日 12時05分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.293325,22.800551000000002
7330,108年01月08日 12時05分32秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.277744,22.947972
7331,108年01月08日 12時06分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.5445,24.0775
7332,108年01月08日 12時07分11秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.932879,24.782754
7333,108年01月08日 12時07分30秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.594105,22.630779999999998
7334,108年01月08日 12時08分00秒,死亡0;受傷1,行人-人;普通重型-機車,120.33238,22.593159
7335,108年01月08日 12時08分00秒,死亡0;受傷1,計程車-小客車;普通重型-機車;自用-大貨車,120.622758,24.149801999999998
7336,108年01月08日 12時09分24秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.99340900000001,24.842988000000002
7337,108年01月08日 12時09分52秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.224515,24.962408
7338,108年01月08日 12時09分58秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.995926,24.835426000000002
7339,108年01月08日 12時10分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.36956399999998,22.701684
7340,108年01月08日 12時10分25秒,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.787603,24.410165
7341,108年01月08日 12時11分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.48283300000001,23.961206
7342,108年01月08日 12時11分01秒,死亡0;受傷2,普通重型-機車;普通重型-機車,121.59016899999999,23.97785
7343,108年01月08日 12時13分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.548348,22.593876
7344,108年01月08日 12時13分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.24323400000002,22.970910999999997
7345,108年01月08日 12時13分00秒,死亡0;受傷1,普通重型-機車,121.331251,24.937425
7346,108年01月08日 12時15分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,121.33441,24.848873
7347,108年01月08日 12時15分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.667028,24.115775
7348,108年01月08日 12時15分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.64446299999999,24.180048
7349,108年01月08日 12時18分00秒,死亡0;受傷2,普通重型-機車;腳踏自行車-慢車,120.31758799999999,23.285358
7350,108年01月08日 12時18分00秒,死亡0;受傷2,普通重型-機車;自用-小客車,120.514118,24.11733
7351,108年01月08日 12時20分00秒,死亡0;受傷2,普通重型-機車;行人-人,121.428285,25.018139
7352,108年01月08日 12時22分00秒,死亡0;受傷2,自用-小客車;普通重型-機車;普通重型-機車,121.442516,25.056760999999998
7353,108年01月08日 12時24分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.41783500000001,25.026598
7354,108年01月08日 12時25分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.960972,24.805178
7355,108年01月08日 12時25分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.452067,22.465421
7356,108年01月08日 12時25分06秒,死亡0;受傷1,普通重型-機車,120.32398700000002,23.470617
7357,108年01月08日 12時27分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,121.31413799999999,24.997882
7358,108年01月08日 12時28分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.69146699999999,24.159149
7359,108年01月08日 12時29分00秒,死亡0;受傷3,自用-小貨車(含客、貨兩用);自用-大貨車;乘客-人;乘客-人,120.243219,23.351316
7360,108年01月08日 12時30分00秒,死亡0;受傷1,普通重型-機車,120.63838500000001,24.181361
7361,108年01月08日 12時30分44秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.236841,25.009267
7362,108年01月08日 12時32分00秒,死亡0;受傷3,普通重型-機車;普通輕型-機車;乘客-人,120.3497,22.565070000000002
7363,108年01月08日 12時33分00秒,死亡0;受傷1,自用-小客車;普通重型-機車;乘客-人,120.201252,22.993848999999997
7364,108年01月08日 12時34分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,121.41783500000001,25.026598
7365,108年01月08日 12時35分00秒,死亡0;受傷1,自用-小客車;普通輕型-機車,120.26911499999999,23.009258
7366,108年01月08日 12時35分00秒,死亡0;受傷1,腳踏自行車-慢車;自用-大貨車,120.202408,22.990744
7367,108年01月08日 12時35分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.286325,22.654751
7368,108年01月08日 12時40分00秒,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.63259,24.141493
7369,108年01月08日 12時40分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.63728300000001,24.14723
7370,108年01月08日 12時40分32秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.28863999999999,25.009142
7371,108年01月08日 12時43分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,121.352101,24.95554
7372,108年01月08日 12時43分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,121.471979,25.017629
7373,108年01月08日 12時43分32秒,死亡0;受傷1,自用-小客車;自用-小客車,118.328705,24.437195000000003
7374,108年01月08日 12時45分34秒,死亡0;受傷2,普通重型-機車;普通重型-機車,121.253285,24.917189
7375,108年01月08日 12時45分44秒,死亡0;受傷2,自用-小客車;營業用-大貨車;營業用-小貨車(含客、貨兩用),120.917484,24.696866
7376,108年01月08日 12時47分00秒,死亡0;受傷1,普通重型-機車,120.54265500000001,22.545691
7377,108年01月08日 12時48分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,121.140918,22.756985
7378,108年01月08日 12時48分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.558205,24.242165
7379,108年01月08日 12時50分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,121.61666899999999,25.055135
7380,108年01月08日 12時51分00秒,死亡0;受傷1,普通重型-機車,120.681754,24.136306
7381,108年01月08日 12時56分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.572703,23.962505
7382,108年01月08日 12時58分00秒,死亡0;受傷2,租賃車-小客車;普通重型-機車;乘客-人,121.464357,25.002883999999998
7383,108年01月08日 13時00分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.30300600000001,22.624533
7384,108年01月08日 13時02分00秒,死亡0;受傷1,普通重型-機車,121.57810900000001,25.03839
7385,108年01月08日 13時03分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.183586,22.99352
7386,108年01月08日 13時03分34秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.42243,23.696251999999998
7387,108年01月08日 13時04分00秒,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.55855600000001,25.083897
7388,108年01月08日 13時10分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.208467,23.026631
7389,108年01月08日 13時10分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.657995,24.117721
7390,108年01月08日 13時13分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,121.49761299999999,25.062635
7391,108年01月08日 13時16分17秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.96986100000001,24.817141
7392,108年01月08日 13時17分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.30152,22.62716
7393,108年01月08日 13時20分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,121.733227,25.107878
7394,108年01月08日 13時22分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,120.648343,24.175895
7395,108年01月08日 13時22分14秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.962461,23.967337
7396,108年01月08日 13時24分00秒,死亡0;受傷1,計程車-小客車;自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車,120.622147,24.174089000000002
7397,108年01月08日 13時25分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.34853400000001,22.636301
7398,108年01月08日 13時26分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車;自用-大貨車,120.25939,23.01751
7399,108年01月08日 13時26分10秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.74574799999999,22.00507
7400,108年01月08日 13時27分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.532067,23.922825
7401,108年01月08日 13時28分00秒,死亡0;受傷1,計程車-小客車;普通重型-機車,120.29754799999999,22.678747
7402,108年01月08日 13時29分00秒,死亡0;受傷1,普通重型-機車;自用-小客車;乘客-人,121.02686399999999,24.807060999999997
7403,108年01月08日 13時29分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.463551,22.629271
7404,108年01月08日 13時29分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.60577099999999,24.117621
7405,108年01月08日 13時30分00秒,死亡0;受傷1,普通重型-機車;自用-大貨車,121.094803,25.033788
7406,108年01月08日 13時31分00秒,死亡0;受傷2,普通重型-機車;乘客-人,120.993632,24.816963
7407,108年01月08日 13時32分21秒,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.501449,22.748846
7408,108年01月08日 13時33分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.42296499999999,23.444513
7409,108年01月08日 13時33分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車;普通重型-機車,120.31659199999999,22.595623
7410,108年01月08日 13時35分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.30169199999999,22.614716
7411,108年01月08日 13時40分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.220509,23.025353
7412,108年01月08日 13時40分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.31918700000001,22.639802
7413,108年01月08日 13時40分00秒,死亡0;受傷1,普通重型-機車,120.57941299999999,24.116626999999998
7414,108年01月08日 13時40分34秒,死亡0;受傷1,普通輕型-機車,120.258306,23.036753
7415,108年01月08日 13時41分00秒,死亡0;受傷1,自用-小客車;普通輕型-機車,120.666,24.234838
7416,108年01月08日 13時43分00秒,死亡0;受傷1,普通重型-機車,121.371278,24.912035
7417,108年01月08日 13時44分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.96608400000001,24.791265
7418,108年01月08日 13時45分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,121.013746,24.784755999999998
7419,108年01月08日 13時45分00秒,死亡0;受傷1,自用-小客車;行人-人,120.64795500000001,24.160431
7420,108年01月08日 13時47分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.362944,25.041528
7421,108年01月08日 13時47分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.61652099999999,24.182664000000003
7422,108年01月08日 13時47分53秒,死亡0;受傷2,腳踏自行車-慢車;普通重型-機車,121.746867,24.754305
7423,108年01月08日 13時56分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.33642900000001,24.934089
7424,108年01月08日 13時56分15秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.518667,23.847554000000002
7425,108年01月08日 13時58分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.52153200000001,25.09134
7426,108年01月08日 13時58分00秒,死亡0;受傷1,普通重型-機車,121.47291899999999,24.999748999999998
7427,108年01月08日 14時00分00秒,死亡0;受傷1,普通重型-機車;自用-小客車;自用-小客車,121.743748,25.119
7428,108年01月08日 14時02分51秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.223975,22.923015
7429,108年01月08日 14時03分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.498547,24.993422
7430,108年01月08日 14時05分00秒,死亡0;受傷1,自用-小客車;普通輕型-機車,121.448924,25.102918
7431,108年01月08日 14時05分00秒,死亡0;受傷2,普通重型-機車;普通輕型-機車,120.66594199999999,24.144335
7432,108年01月08日 14時07分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.548698,23.887107
7433,108年01月08日 14時08分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.648443,24.173635
7434,108年01月08日 14時08分00秒,死亡0;受傷1,自用-大貨車;普通重型-機車,120.67065500000001,24.102966000000002
7435,108年01月08日 14時09分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);電動自行車-慢車,121.77863500000001,24.682437
7436,108年01月08日 14時10分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);自用-小客車,120.594499,23.688259
7437,108年01月08日 14時10分00秒,死亡0;受傷2,普通重型-機車;自用-大貨車;乘客-人,121.485198,24.993454
7438,108年01月08日 14時13分21秒,死亡0;受傷1,普通重型-機車;普通重型-機車;自用-小客車,120.96420900000001,23.965239999999998
7439,108年01月08日 14時16分49秒,死亡0;受傷1,普通重型-機車;自用-小客車,121.37037600000001,24.938337
7440,108年01月08日 14時18分10秒,死亡0;受傷1,自用-小客車;大型重型1(550C.C.以上)-機車,120.46084599999999,22.543121
7441,108年01月08日 14時20分00秒,死亡0;受傷1,普通重型-機車;計程車-小客車,121.47358600000001,25.014937
7442,108年01月08日 14時20分00秒,死亡0;受傷1,普通重型-機車,120.55576299999998,22.889326
7443,108年01月08日 14時20分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.66748100000001,24.136252
7444,108年01月08日 14時20分35秒,死亡0;受傷2,自用-小客車;自用-小貨車(含客、貨兩用);行人-人,120.243472,23.572014000000003
7445,108年01月08日 14時22分29秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.180121,24.781987
7446,108年01月08日 14時23分24秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.68697900000001,23.986179
7447,108年01月08日 14時25分00秒,死亡0;受傷1,電動自行車-慢車;行人-人,118.319101,24.434165
7448,108年01月08日 14時25分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);自用-小客車,120.463856,22.654469
7449,108年01月08日 14時25分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.474197,22.665278
7450,108年01月08日 14時25分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.30967,22.739901
7451,108年01月08日 14時25分33秒,死亡0;受傷1,普通重型-機車;普通重型-機車,121.249072,24.956895000000003
7452,108年01月08日 14時25分53秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.973569,24.798756
7453,108年01月08日 14時26分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.45698200000001,24.994147
7454,108年01月08日 14時27分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.649401,24.162566
7455,108年01月08日 14時29分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.22599299999999,22.990543
7456,108年01月08日 14時30分00秒,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,120.471576,23.459336999999998
7457,108年01月08日 14時30分00秒,死亡0;受傷1,普通重型-機車;腳踏自行車-慢車,120.488262,22.675864
7458,108年01月08日 14時30分59秒,死亡0;受傷1,自用-小客車;普通輕型-機車,120.457347,22.534881
7459,108年01月08日 14時31分00秒,死亡0;受傷1,自用-小客車;行人-人;自用-小客車,120.56162900000001,24.237724
7460,108年01月08日 14時32分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用),120.13301000000001,23.043594
7461,108年01月08日 14時40分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.256496,24.869578
7462,108年01月08日 14時40分00秒,死亡0;受傷1,計程車-小客車;行人-人,121.5,25.066667000000002
7463,108年01月08日 14時40分35秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.025057,24.778470000000002
7464,108年01月08日 14時41分20秒,死亡0;受傷1,普通重型-機車;計程車-小客車,120.188616,22.967338
7465,108年01月08日 14時43分00秒,死亡0;受傷1,普通重型-機車,121.450442,24.986872
7466,108年01月08日 14時43分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.490873,22.677042999999998
7467,108年01月08日 14時43分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.351522,22.750882
7468,108年01月08日 14時44分00秒,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,120.35316200000001,22.64041
7469,108年01月08日 14時45分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,121.56657,25.088126000000003
7470,108年01月08日 14時45分23秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.21839399999999,22.998431
7471,108年01月08日 14時46分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.249655,23.181888
7472,108年01月08日 14時47分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.455572,24.982136999999998
7473,108年01月08日 14時48分50秒,死亡0;受傷1,營業用-大貨車;自用-小客車,120.32263400000001,22.782506
7474,108年01月08日 14時50分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.655143,24.115828
7475,108年01月08日 14時52分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.686775,24.166613
7476,108年01月08日 14時52分21秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.490582,23.51189
7477,108年01月08日 14時55分00秒,死亡0;受傷1,普通重型-機車;腳踏自行車-慢車,120.18651499999999,22.984334
7478,108年01月08日 14時56分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.342307,22.644451999999998
7479,108年01月08日 14時58分26秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.96798500000001,24.796497
7480,108年01月08日 15時00分00秒,死亡0;受傷1,營業用-小貨車(含客、貨兩用);普通重型-機車,120.331907,22.730211999999998
7481,108年01月08日 15時00分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.69031299999999,24.176560000000002
7482,108年01月08日 15時05分00秒,死亡0;受傷1,普通重型-機車,121.09985,22.875598999999998
7483,108年01月08日 15時05分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.33313100000001,22.569671
7484,108年01月08日 15時05分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.628533,24.008483
7485,108年01月08日 15時05分39秒,死亡0;受傷1,自用-小客車;普通重型-機車;乘客-人,120.24576499999999,23.183284
7486,108年01月08日 15時10分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.37298899999999,22.622369
7487,108年01月08日 15時10分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,121.525453,25.054938
7488,108年01月08日 15時10分52秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.204349,23.003847
7489,108年01月08日 15時16分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,121.295478,25.005229999999997
7490,108年01月08日 15時19分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.67586399999999,24.159229
7491,108年01月08日 15時19分00秒,死亡0;受傷1,自用-小客車;行人-人,120.600998,24.110661
7492,108年01月08日 15時20分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.34943700000001,22.568205
7493,108年01月08日 15時20分00秒,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.610824,25.065932999999998
7494,108年01月08日 15時21分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.523766,24.208616
7495,108年01月08日 15時24分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車;乘客-人,121.32558600000002,24.997135
7496,108年01月08日 15時24分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.48419399999999,25.064654
7497,108年01月08日 15時24分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.716695,24.131666
7498,108年01月08日 15時25分00秒,死亡0;受傷1,租賃車-小客車;普通重型-機車,121.543772,25.044749
7499,108年01月08日 15時25分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.532795,24.074061999999998
7500,108年01月08日 15時28分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,121.37410600000001,25.057102
7501,108年01月08日 15時28分00秒,死亡0;受傷1,自用-小客車;自用-小客車,120.315206,22.656479
7502,108年01月08日 15時28分18秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.22568799999999,22.918516
7503,108年01月08日 15時29分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,120.334151,22.630359
7504,108年01月08日 15時30分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.96556499999998,24.789928
7505,108年01月08日 15時30分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,121.239453,24.953678
7506,108年01月08日 15時32分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.53046599999999,24.076675
7507,108年01月08日 15時32分28秒,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,120.54643899999999,22.629748
7508,108年01月08日 15時35分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.584718,23.961256
7509,108年01月08日 15時36分00秒,死亡0;受傷1,營業用-大貨車,121.16729299999999,24.923465
7510,108年01月08日 15時36分46秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.211133,22.983914000000002
7511,108年01月08日 15時37分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,121.446047,25.193459
7512,108年01月08日 15時40分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,121.61129299999999,23.984129
7513,108年01月08日 15時40分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.575921,23.965289000000002
7514,108年01月08日 15時47分00秒,死亡0;受傷1,普通輕型-機車;自用-小貨車(含客、貨兩用),120.255338,23.183703
7515,108年01月08日 15時47分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.32356499999999,22.665
7516,108年01月08日 15時47分00秒,死亡0;受傷1,大型重型2(250-550C.C.)-機車;計程車-小客車,120.648677,24.140123000000003
7517,108年01月08日 15時48分00秒,死亡0;受傷1,腳踏自行車-慢車,120.626822,22.829455
7518,108年01月08日 15時48分01秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.916707,24.785536999999998
7519,108年01月08日 15時50分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.632274,24.137677
7520,108年01月08日 15時50分21秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.275671,22.998807
7521,108年01月08日 15時51分00秒,死亡0;受傷1,自用-小客車;普通重型-機車;乘客-人,120.231229,23.006517000000002
7522,108年01月08日 15時51分15秒,死亡0;受傷1,普通重型-機車;營業用-大貨車,120.573374,23.718791
7523,108年01月08日 15時52分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.481637,22.670184
7524,108年01月08日 15時52分00秒,死亡0;受傷4,普通重型-機車;普通重型-機車;乘客-人;乘客-人,120.50693000000001,23.882103
7525,108年01月08日 15時54分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.62906000000001,24.206226
7526,108年01月08日 15時55分49秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.45856699999999,23.453499
7527,108年01月08日 15時56分00秒,死亡0;受傷6,其他特種車-特種車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人;乘客-人;乘客-人,121.80939599999999,24.699679
7528,108年01月08日 15時59分52秒,死亡0;受傷1,普通重型-機車;普通重型-機車;其他人-人,121.728755,24.746462
7529,108年01月08日 16時00分00秒,死亡0;受傷1,腳踏自行車-慢車,120.56396699999999,24.015245999999998
7530,108年01月08日 16時00分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.46988999999999,24.014179000000002
7531,108年01月08日 16時02分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.44153100000001,25.088141
7532,108年01月08日 16時03分20秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.255971,24.918568
7533,108年01月08日 16時04分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.223366,24.974463
7534,108年01月08日 16時05分00秒,死亡0;受傷4,普通重型-機車;普通重型-機車;乘客-人;乘客-人,120.36221100000002,22.793901
7535,108年01月08日 16時05分00秒,死亡0;受傷1,租賃車-小客車;普通重型-機車,121.526371,25.100938
7536,108年01月08日 16時08分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.644745,24.183896
7537,108年01月08日 16時10分00秒,死亡0;受傷2,營業用-小貨車(含客、貨兩用);營業用-大貨車;乘客-人,120.18719399999999,23.258434
7538,108年01月08日 16時11分01秒,死亡0;受傷2,自用-小貨車(含客、貨兩用);行人-人;行人-人,121.300083,24.962631
7539,108年01月08日 16時13分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車;普通重型-機車,121.49851399999999,25.084892
7540,108年01月08日 16時14分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.345243,25.046417
7541,108年01月08日 16時14分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.26036,22.99459
7542,108年01月08日 16時14分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,121.4985,25.084877
7543,108年01月08日 16時15分00秒,死亡0;受傷2,自用-小客車;普通輕型-機車;乘客-人,120.30872600000001,22.618727
7544,108年01月08日 16時15分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,121.498516,25.084854999999997
7545,108年01月08日 16時15分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.56243,24.235766
7546,108年01月08日 16時17分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人,121.578374,25.083892000000002
7547,108年01月08日 16時20分00秒,死亡0;受傷1,普通重型-機車,120.45846,23.573575
7548,108年01月08日 16時22分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.2967,22.65371
